location,temperature,categories,premise,hypothesis
noloc,-50,freezing,It is -50 degrees celsius.,It is freezing.
noloc,-50,cold,It is -50 degrees celsius.,It is cold.
noloc,-50,cool,It is -50 degrees celsius.,It is cool.
noloc,-50,warm,It is -50 degrees celsius.,It is warm.
noloc,-50,hot,It is -50 degrees celsius.,It is hot.
noloc,-49,freezing,It is -49 degrees celsius.,It is freezing.
noloc,-49,cold,It is -49 degrees celsius.,It is cold.
noloc,-49,cool,It is -49 degrees celsius.,It is cool.
noloc,-49,warm,It is -49 degrees celsius.,It is warm.
noloc,-49,hot,It is -49 degrees celsius.,It is hot.
noloc,-48,freezing,It is -48 degrees celsius.,It is freezing.
noloc,-48,cold,It is -48 degrees celsius.,It is cold.
noloc,-48,cool,It is -48 degrees celsius.,It is cool.
noloc,-48,warm,It is -48 degrees celsius.,It is warm.
noloc,-48,hot,It is -48 degrees celsius.,It is hot.
noloc,-47,freezing,It is -47 degrees celsius.,It is freezing.
noloc,-47,cold,It is -47 degrees celsius.,It is cold.
noloc,-47,cool,It is -47 degrees celsius.,It is cool.
noloc,-47,warm,It is -47 degrees celsius.,It is warm.
noloc,-47,hot,It is -47 degrees celsius.,It is hot.
noloc,-46,freezing,It is -46 degrees celsius.,It is freezing.
noloc,-46,cold,It is -46 degrees celsius.,It is cold.
noloc,-46,cool,It is -46 degrees celsius.,It is cool.
noloc,-46,warm,It is -46 degrees celsius.,It is warm.
noloc,-46,hot,It is -46 degrees celsius.,It is hot.
noloc,-45,freezing,It is -45 degrees celsius.,It is freezing.
noloc,-45,cold,It is -45 degrees celsius.,It is cold.
noloc,-45,cool,It is -45 degrees celsius.,It is cool.
noloc,-45,warm,It is -45 degrees celsius.,It is warm.
noloc,-45,hot,It is -45 degrees celsius.,It is hot.
noloc,-44,freezing,It is -44 degrees celsius.,It is freezing.
noloc,-44,cold,It is -44 degrees celsius.,It is cold.
noloc,-44,cool,It is -44 degrees celsius.,It is cool.
noloc,-44,warm,It is -44 degrees celsius.,It is warm.
noloc,-44,hot,It is -44 degrees celsius.,It is hot.
noloc,-43,freezing,It is -43 degrees celsius.,It is freezing.
noloc,-43,cold,It is -43 degrees celsius.,It is cold.
noloc,-43,cool,It is -43 degrees celsius.,It is cool.
noloc,-43,warm,It is -43 degrees celsius.,It is warm.
noloc,-43,hot,It is -43 degrees celsius.,It is hot.
noloc,-42,freezing,It is -42 degrees celsius.,It is freezing.
noloc,-42,cold,It is -42 degrees celsius.,It is cold.
noloc,-42,cool,It is -42 degrees celsius.,It is cool.
noloc,-42,warm,It is -42 degrees celsius.,It is warm.
noloc,-42,hot,It is -42 degrees celsius.,It is hot.
noloc,-41,freezing,It is -41 degrees celsius.,It is freezing.
noloc,-41,cold,It is -41 degrees celsius.,It is cold.
noloc,-41,cool,It is -41 degrees celsius.,It is cool.
noloc,-41,warm,It is -41 degrees celsius.,It is warm.
noloc,-41,hot,It is -41 degrees celsius.,It is hot.
noloc,-40,freezing,It is -40 degrees celsius.,It is freezing.
noloc,-40,cold,It is -40 degrees celsius.,It is cold.
noloc,-40,cool,It is -40 degrees celsius.,It is cool.
noloc,-40,warm,It is -40 degrees celsius.,It is warm.
noloc,-40,hot,It is -40 degrees celsius.,It is hot.
noloc,-39,freezing,It is -39 degrees celsius.,It is freezing.
noloc,-39,cold,It is -39 degrees celsius.,It is cold.
noloc,-39,cool,It is -39 degrees celsius.,It is cool.
noloc,-39,warm,It is -39 degrees celsius.,It is warm.
noloc,-39,hot,It is -39 degrees celsius.,It is hot.
noloc,-38,freezing,It is -38 degrees celsius.,It is freezing.
noloc,-38,cold,It is -38 degrees celsius.,It is cold.
noloc,-38,cool,It is -38 degrees celsius.,It is cool.
noloc,-38,warm,It is -38 degrees celsius.,It is warm.
noloc,-38,hot,It is -38 degrees celsius.,It is hot.
noloc,-37,freezing,It is -37 degrees celsius.,It is freezing.
noloc,-37,cold,It is -37 degrees celsius.,It is cold.
noloc,-37,cool,It is -37 degrees celsius.,It is cool.
noloc,-37,warm,It is -37 degrees celsius.,It is warm.
noloc,-37,hot,It is -37 degrees celsius.,It is hot.
noloc,-36,freezing,It is -36 degrees celsius.,It is freezing.
noloc,-36,cold,It is -36 degrees celsius.,It is cold.
noloc,-36,cool,It is -36 degrees celsius.,It is cool.
noloc,-36,warm,It is -36 degrees celsius.,It is warm.
noloc,-36,hot,It is -36 degrees celsius.,It is hot.
noloc,-35,freezing,It is -35 degrees celsius.,It is freezing.
noloc,-35,cold,It is -35 degrees celsius.,It is cold.
noloc,-35,cool,It is -35 degrees celsius.,It is cool.
noloc,-35,warm,It is -35 degrees celsius.,It is warm.
noloc,-35,hot,It is -35 degrees celsius.,It is hot.
noloc,-34,freezing,It is -34 degrees celsius.,It is freezing.
noloc,-34,cold,It is -34 degrees celsius.,It is cold.
noloc,-34,cool,It is -34 degrees celsius.,It is cool.
noloc,-34,warm,It is -34 degrees celsius.,It is warm.
noloc,-34,hot,It is -34 degrees celsius.,It is hot.
noloc,-33,freezing,It is -33 degrees celsius.,It is freezing.
noloc,-33,cold,It is -33 degrees celsius.,It is cold.
noloc,-33,cool,It is -33 degrees celsius.,It is cool.
noloc,-33,warm,It is -33 degrees celsius.,It is warm.
noloc,-33,hot,It is -33 degrees celsius.,It is hot.
noloc,-32,freezing,It is -32 degrees celsius.,It is freezing.
noloc,-32,cold,It is -32 degrees celsius.,It is cold.
noloc,-32,cool,It is -32 degrees celsius.,It is cool.
noloc,-32,warm,It is -32 degrees celsius.,It is warm.
noloc,-32,hot,It is -32 degrees celsius.,It is hot.
noloc,-31,freezing,It is -31 degrees celsius.,It is freezing.
noloc,-31,cold,It is -31 degrees celsius.,It is cold.
noloc,-31,cool,It is -31 degrees celsius.,It is cool.
noloc,-31,warm,It is -31 degrees celsius.,It is warm.
noloc,-31,hot,It is -31 degrees celsius.,It is hot.
noloc,-30,freezing,It is -30 degrees celsius.,It is freezing.
noloc,-30,cold,It is -30 degrees celsius.,It is cold.
noloc,-30,cool,It is -30 degrees celsius.,It is cool.
noloc,-30,warm,It is -30 degrees celsius.,It is warm.
noloc,-30,hot,It is -30 degrees celsius.,It is hot.
noloc,-29,freezing,It is -29 degrees celsius.,It is freezing.
noloc,-29,cold,It is -29 degrees celsius.,It is cold.
noloc,-29,cool,It is -29 degrees celsius.,It is cool.
noloc,-29,warm,It is -29 degrees celsius.,It is warm.
noloc,-29,hot,It is -29 degrees celsius.,It is hot.
noloc,-28,freezing,It is -28 degrees celsius.,It is freezing.
noloc,-28,cold,It is -28 degrees celsius.,It is cold.
noloc,-28,cool,It is -28 degrees celsius.,It is cool.
noloc,-28,warm,It is -28 degrees celsius.,It is warm.
noloc,-28,hot,It is -28 degrees celsius.,It is hot.
noloc,-27,freezing,It is -27 degrees celsius.,It is freezing.
noloc,-27,cold,It is -27 degrees celsius.,It is cold.
noloc,-27,cool,It is -27 degrees celsius.,It is cool.
noloc,-27,warm,It is -27 degrees celsius.,It is warm.
noloc,-27,hot,It is -27 degrees celsius.,It is hot.
noloc,-26,freezing,It is -26 degrees celsius.,It is freezing.
noloc,-26,cold,It is -26 degrees celsius.,It is cold.
noloc,-26,cool,It is -26 degrees celsius.,It is cool.
noloc,-26,warm,It is -26 degrees celsius.,It is warm.
noloc,-26,hot,It is -26 degrees celsius.,It is hot.
noloc,-25,freezing,It is -25 degrees celsius.,It is freezing.
noloc,-25,cold,It is -25 degrees celsius.,It is cold.
noloc,-25,cool,It is -25 degrees celsius.,It is cool.
noloc,-25,warm,It is -25 degrees celsius.,It is warm.
noloc,-25,hot,It is -25 degrees celsius.,It is hot.
noloc,-24,freezing,It is -24 degrees celsius.,It is freezing.
noloc,-24,cold,It is -24 degrees celsius.,It is cold.
noloc,-24,cool,It is -24 degrees celsius.,It is cool.
noloc,-24,warm,It is -24 degrees celsius.,It is warm.
noloc,-24,hot,It is -24 degrees celsius.,It is hot.
noloc,-23,freezing,It is -23 degrees celsius.,It is freezing.
noloc,-23,cold,It is -23 degrees celsius.,It is cold.
noloc,-23,cool,It is -23 degrees celsius.,It is cool.
noloc,-23,warm,It is -23 degrees celsius.,It is warm.
noloc,-23,hot,It is -23 degrees celsius.,It is hot.
noloc,-22,freezing,It is -22 degrees celsius.,It is freezing.
noloc,-22,cold,It is -22 degrees celsius.,It is cold.
noloc,-22,cool,It is -22 degrees celsius.,It is cool.
noloc,-22,warm,It is -22 degrees celsius.,It is warm.
noloc,-22,hot,It is -22 degrees celsius.,It is hot.
noloc,-21,freezing,It is -21 degrees celsius.,It is freezing.
noloc,-21,cold,It is -21 degrees celsius.,It is cold.
noloc,-21,cool,It is -21 degrees celsius.,It is cool.
noloc,-21,warm,It is -21 degrees celsius.,It is warm.
noloc,-21,hot,It is -21 degrees celsius.,It is hot.
noloc,-20,freezing,It is -20 degrees celsius.,It is freezing.
noloc,-20,cold,It is -20 degrees celsius.,It is cold.
noloc,-20,cool,It is -20 degrees celsius.,It is cool.
noloc,-20,warm,It is -20 degrees celsius.,It is warm.
noloc,-20,hot,It is -20 degrees celsius.,It is hot.
noloc,-19,freezing,It is -19 degrees celsius.,It is freezing.
noloc,-19,cold,It is -19 degrees celsius.,It is cold.
noloc,-19,cool,It is -19 degrees celsius.,It is cool.
