name,feet,inches,categories,premise,hypothesis
Alice,2,1,tall,Alice's height is 2 feet 1 inches.,Alice is tall.
Alice,2,1,short,Alice's height is 2 feet 1 inches.,Alice is short.
Alice,2,2,tall,Alice's height is 2 feet 2 inches.,Alice is tall.
Alice,2,2,short,Alice's height is 2 feet 2 inches.,Alice is short.
Alice,2,3,tall,Alice's height is 2 feet 3 inches.,Alice is tall.
Alice,2,3,short,Alice's height is 2 feet 3 inches.,Alice is short.
Alice,2,4,tall,Alice's height is 2 feet 4 inches.,Alice is tall.
Alice,2,4,short,Alice's height is 2 feet 4 inches.,Alice is short.
Alice,2,5,tall,Alice's height is 2 feet 5 inches.,Alice is tall.
Alice,2,5,short,Alice's height is 2 feet 5 inches.,Alice is short.
Alice,2,6,tall,Alice's height is 2 feet 6 inches.,Alice is tall.
Alice,2,6,short,Alice's height is 2 feet 6 inches.,Alice is short.
Alice,2,7,tall,Alice's height is 2 feet 7 inches.,Alice is tall.
Alice,2,7,short,Alice's height is 2 feet 7 inches.,Alice is short.
Alice,2,8,tall,Alice's height is 2 feet 8 inches.,Alice is tall.
Alice,2,8,short,Alice's height is 2 feet 8 inches.,Alice is short.
Alice,2,9,tall,Alice's height is 2 feet 9 inches.,Alice is tall.
Alice,2,9,short,Alice's height is 2 feet 9 inches.,Alice is short.
Alice,2,10,tall,Alice's height is 2 feet 10 inches.,Alice is tall.
Alice,2,10,short,Alice's height is 2 feet 10 inches.,Alice is short.
Alice,2,11,tall,Alice's height is 2 feet 11 inches.,Alice is tall.
Alice,2,11,short,Alice's height is 2 feet 11 inches.,Alice is short.
Alice,3,1,tall,Alice's height is 3 feet 1 inches.,Alice is tall.
Alice,3,1,short,Alice's height is 3 feet 1 inches.,Alice is short.
Alice,3,2,tall,Alice's height is 3 feet 2 inches.,Alice is tall.
Alice,3,2,short,Alice's height is 3 feet 2 inches.,Alice is short.
Alice,3,3,tall,Alice's height is 3 feet 3 inches.,Alice is tall.
Alice,3,3,short,Alice's height is 3 feet 3 inches.,Alice is short.
Alice,3,4,tall,Alice's height is 3 feet 4 inches.,Alice is tall.
Alice,3,4,short,Alice's height is 3 feet 4 inches.,Alice is short.
Alice,3,5,tall,Alice's height is 3 feet 5 inches.,Alice is tall.
Alice,3,5,short,Alice's height is 3 feet 5 inches.,Alice is short.
Alice,3,6,tall,Alice's height is 3 feet 6 inches.,Alice is tall.
Alice,3,6,short,Alice's height is 3 feet 6 inches.,Alice is short.
Alice,3,7,tall,Alice's height is 3 feet 7 inches.,Alice is tall.
Alice,3,7,short,Alice's height is 3 feet 7 inches.,Alice is short.
Alice,3,8,tall,Alice's height is 3 feet 8 inches.,Alice is tall.
Alice,3,8,short,Alice's height is 3 feet 8 inches.,Alice is short.
Alice,3,9,tall,Alice's height is 3 feet 9 inches.,Alice is tall.
Alice,3,9,short,Alice's height is 3 feet 9 inches.,Alice is short.
Alice,3,10,tall,Alice's height is 3 feet 10 inches.,Alice is tall.
Alice,3,10,short,Alice's height is 3 feet 10 inches.,Alice is short.
Alice,3,11,tall,Alice's height is 3 feet 11 inches.,Alice is tall.
Alice,3,11,short,Alice's height is 3 feet 11 inches.,Alice is short.
Alice,4,1,tall,Alice's height is 4 feet 1 inches.,Alice is tall.
Alice,4,1,short,Alice's height is 4 feet 1 inches.,Alice is short.
Alice,4,2,tall,Alice's height is 4 feet 2 inches.,Alice is tall.
Alice,4,2,short,Alice's height is 4 feet 2 inches.,Alice is short.
Alice,4,3,tall,Alice's height is 4 feet 3 inches.,Alice is tall.
Alice,4,3,short,Alice's height is 4 feet 3 inches.,Alice is short.
Alice,4,4,tall,Alice's height is 4 feet 4 inches.,Alice is tall.
Alice,4,4,short,Alice's height is 4 feet 4 inches.,Alice is short.
Alice,4,5,tall,Alice's height is 4 feet 5 inches.,Alice is tall.
Alice,4,5,short,Alice's height is 4 feet 5 inches.,Alice is short.
Alice,4,6,tall,Alice's height is 4 feet 6 inches.,Alice is tall.
Alice,4,6,short,Alice's height is 4 feet 6 inches.,Alice is short.
Alice,4,7,tall,Alice's height is 4 feet 7 inches.,Alice is tall.
Alice,4,7,short,Alice's height is 4 feet 7 inches.,Alice is short.
Alice,4,8,tall,Alice's height is 4 feet 8 inches.,Alice is tall.
Alice,4,8,short,Alice's height is 4 feet 8 inches.,Alice is short.
Alice,4,9,tall,Alice's height is 4 feet 9 inches.,Alice is tall.
