name,feet,inches,categories,premise,hypothesis
Barbara,2,1,tall,Barbara is tall.,Barbara is 2 feet 1 inches.
Barbara,2,1,short,Barbara is short.,Barbara is 2 feet 1 inches.
Barbara,2,2,tall,Barbara is tall.,Barbara is 2 feet 2 inches.
Barbara,2,2,short,Barbara is short.,Barbara is 2 feet 2 inches.
Barbara,2,3,tall,Barbara is tall.,Barbara is 2 feet 3 inches.
Barbara,2,3,short,Barbara is short.,Barbara is 2 feet 3 inches.
Barbara,2,4,tall,Barbara is tall.,Barbara is 2 feet 4 inches.
Barbara,2,4,short,Barbara is short.,Barbara is 2 feet 4 inches.
Barbara,2,5,tall,Barbara is tall.,Barbara is 2 feet 5 inches.
Barbara,2,5,short,Barbara is short.,Barbara is 2 feet 5 inches.
Barbara,2,6,tall,Barbara is tall.,Barbara is 2 feet 6 inches.
Barbara,2,6,short,Barbara is short.,Barbara is 2 feet 6 inches.
Barbara,2,7,tall,Barbara is tall.,Barbara is 2 feet 7 inches.
Barbara,2,7,short,Barbara is short.,Barbara is 2 feet 7 inches.
Barbara,2,8,tall,Barbara is tall.,Barbara is 2 feet 8 inches.
Barbara,2,8,short,Barbara is short.,Barbara is 2 feet 8 inches.
Barbara,2,9,tall,Barbara is tall.,Barbara is 2 feet 9 inches.
Barbara,2,9,short,Barbara is short.,Barbara is 2 feet 9 inches.
Barbara,2,10,tall,Barbara is tall.,Barbara is 2 feet 10 inches.
Barbara,2,10,short,Barbara is short.,Barbara is 2 feet 10 inches.
Barbara,2,11,tall,Barbara is tall.,Barbara is 2 feet 11 inches.
Barbara,2,11,short,Barbara is short.,Barbara is 2 feet 11 inches.
Barbara,3,1,tall,Barbara is tall.,Barbara is 3 feet 1 inches.
Barbara,3,1,short,Barbara is short.,Barbara is 3 feet 1 inches.
Barbara,3,2,tall,Barbara is tall.,Barbara is 3 feet 2 inches.
Barbara,3,2,short,Barbara is short.,Barbara is 3 feet 2 inches.
Barbara,3,3,tall,Barbara is tall.,Barbara is 3 feet 3 inches.
Barbara,3,3,short,Barbara is short.,Barbara is 3 feet 3 inches.
Barbara,3,4,tall,Barbara is tall.,Barbara is 3 feet 4 inches.
Barbara,3,4,short,Barbara is short.,Barbara is 3 feet 4 inches.
Barbara,3,5,tall,Barbara is tall.,Barbara is 3 feet 5 inches.
Barbara,3,5,short,Barbara is short.,Barbara is 3 feet 5 inches.
Barbara,3,6,tall,Barbara is tall.,Barbara is 3 feet 6 inches.
Barbara,3,6,short,Barbara is short.,Barbara is 3 feet 6 inches.
Barbara,3,7,tall,Barbara is tall.,Barbara is 3 feet 7 inches.
Barbara,3,7,short,Barbara is short.,Barbara is 3 feet 7 inches.
Barbara,3,8,tall,Barbara is tall.,Barbara is 3 feet 8 inches.
Barbara,3,8,short,Barbara is short.,Barbara is 3 feet 8 inches.
Barbara,3,9,tall,Barbara is tall.,Barbara is 3 feet 9 inches.
Barbara,3,9,short,Barbara is short.,Barbara is 3 feet 9 inches.
Barbara,3,10,tall,Barbara is tall.,Barbara is 3 feet 10 inches.
Barbara,3,10,short,Barbara is short.,Barbara is 3 feet 10 inches.
Barbara,3,11,tall,Barbara is tall.,Barbara is 3 feet 11 inches.
Barbara,3,11,short,Barbara is short.,Barbara is 3 feet 11 inches.
Barbara,4,1,tall,Barbara is tall.,Barbara is 4 feet 1 inches.
Barbara,4,1,short,Barbara is short.,Barbara is 4 feet 1 inches.
Barbara,4,2,tall,Barbara is tall.,Barbara is 4 feet 2 inches.
Barbara,4,2,short,Barbara is short.,Barbara is 4 feet 2 inches.
Barbara,4,3,tall,Barbara is tall.,Barbara is 4 feet 3 inches.
Barbara,4,3,short,Barbara is short.,Barbara is 4 feet 3 inches.
Barbara,4,4,tall,Barbara is tall.,Barbara is 4 feet 4 inches.
Barbara,4,4,short,Barbara is short.,Barbara is 4 feet 4 inches.
Barbara,4,5,tall,Barbara is tall.,Barbara is 4 feet 5 inches.
Barbara,4,5,short,Barbara is short.,Barbara is 4 feet 5 inches.
Barbara,4,6,tall,Barbara is tall.,Barbara is 4 feet 6 inches.
Barbara,4,6,short,Barbara is short.,Barbara is 4 feet 6 inches.
Barbara,4,7,tall,Barbara is tall.,Barbara is 4 feet 7 inches.
Barbara,4,7,short,Barbara is short.,Barbara is 4 feet 7 inches.
Barbara,4,8,tall,Barbara is tall.,Barbara is 4 feet 8 inches.
Barbara,4,8,short,Barbara is short.,Barbara is 4 feet 8 inches.
Barbara,4,9,tall,Barbara is tall.,Barbara is 4 feet 9 inches.
Barbara,4,9,short,Barbara is short.,Barbara is 4 feet 9 inches.
Barbara,4,10,tall,Barbara is tall.,Barbara is 4 feet 10 inches.
Barbara,4,10,short,Barbara is short.,Barbara is 4 feet 10 inches.
Barbara,4,11,tall,Barbara is tall.,Barbara is 4 feet 11 inches.
