sentence,name,vshort,short,average,tall,vtall
Everett is 50 cm tall.,Everett,1,9.988720233774166e-8,1.559088980555271e-8,3.2690177277751964e-9,0
Jim is 50.01 cm tall.,Jim,1,9.99724803368938e-8,1.560144156832193e-8,3.270837576846001e-9,0
Rudy 's height is 50.02 cm.,Rudy,1,1.0005784025096213e-7,1.5612001365767625e-8,3.272658565736642e-9,0
Damian is 50.03 cm.,Damian,1,1.0014328216738265e-7,1.562256920468814e-8,3.2744806952403828e-9,0
Manuel 's height is 50.04 cm.,Manuel,1,1.0022880617369485e-7,1.5633145091888187e-8,3.276303966151122e-9,0
Peter 's height is 50.05 cm.,Peter,1,1.0031441235754069e-7,1.564372903417889e-8,3.2781283792633505e-9,0
Ruby is 50.06 cm tall.,Ruby,1,1.004001008066651e-7,1.565432103837757e-8,3.2799539353721563e-9,0
Elias is 50.07 cm tall.,Elias,1,1.0048587160891584e-7,1.5664921111307994e-8,3.281780635273261e-9,0
Lowell is 50.08 cm.,Lowell,1,1.0057172485224446e-7,1.5675529259800248e-8,3.2836084797629787e-9,0
Donna is 50.09 cm tall.,Donna,1,1.0065766062470519e-7,1.568614549069079e-8,3.285437469638243e-9,0
Anastasia is 50.1 cm tall.,Anastasia,1,1.0074367901445605e-7,1.5696769810822445e-8,3.2872676056965795e-9,0
Kristen is 50.11 cm tall.,Kristen,1,1.0082978010975887e-7,1.57074022270444e-8,3.2890988887361553e-9,0
Deborah is 50.13 cm tall.,Deborah,1,1.0100223077058483e-7,1.57286913751879e-8,3.2927648989546435e-9,0
Henrietta is 50.14 cm tall.,Henrietta,1,1.0108858051315044e-7,1.5739348120839753e-8,3.2945996277329225e-9,0
Elena is 50.15 cm tall.,Elena,1,1.0117501331535292e-7,1.575001299004255e-8,3.296435506691155e-9,0
Dominic is 50.16 cm tall.,Dominic,1,1.0126152926597357e-7,1.576068598967744e-8,3.2982725366305445e-9,0
Lena 's height is 50.17 cm.,Lena,1,1.0134812845389877e-7,1.5771367126632002e-8,3.3001107183529254e-9,0
Neil is 50.18 cm.,Neil,1,1.0143481096811872e-7,1.5782056407800237e-8,3.3019500526607255e-9,0
Dwight is 50.19 cm.,Dwight,1,1.015215768977287e-7,1.5792753840082495e-8,3.3037905403570134e-9,0
Rodney is 50.2 cm.,Rodney,1,1.0160842633192867e-7,1.5803459430385712e-8,3.3056321822454505e-9,0
Kyle 's height is 50.21 cm.,Kyle,1,1.0169535936002367e-7,1.5814173185623102e-8,3.307474979130338e-9,0
Joyce 's height is 50.23 cm.,Joyce,1,1.0186947655564313e-7,1.5835625218585812e-8,3.3111640411096584e-9,0
Benny is 50.25 cm tall.,Benny,1,1.0204392920113084e-7,1.5857109994406005e-8,3.314857732741612e-9,0
Joanne is 50.27 cm.,Joanne,1,1.022187180147173e-7,1.5878627568622323e-8,3.3185560604827273e-9,0
Gage is 50.28 cm.,Gage,1,1.0230623870945698e-7,1.5889398672513222e-8,3.3204069649145867e-9,0
Tommy is 50.29 cm.,Tommy,1,1.0239384371632472e-7,1.5900177996877152e-8,3.3222590307994267e-9,0
Ellis is 50.31 cm.,Ellis,1,1.0256930702757276e-7,1.59217613349167e-8,3.325966650168079e-9,0
Sebastian is 50.32 cm tall.,Sebastian,1,1.026571655127827e-7,1.5932565362554885e-8,3.3278222052734572e-9,0
Kate is 50.33 cm tall.,Kate,1,1.0274510867178066e-7,1.594337763859125e-8,3.329678925074963e-9,0
Caitlin is 50.34 cm.,Caitlin,1,1.0283313659524816e-7,1.595419817002337e-8,3.33153681038494e-9,0
Geraldine is 50.35 cm tall.,Geraldine,1,1.0292124937397315e-7,1.5965026963855357e-8,3.3333958620163415e-9,0
Angelica 's height is 50.36 cm.,Angelica,1,1.0300944709885122e-7,1.597586402709786e-8,3.3352560807827732e-9,0
Whitney is 50.37 cm.,Whitney,1,1.0309772986088441e-7,1.5986709366768094e-8,3.337117467498436e-9,0
Amelia is 50.38 cm tall.,Amelia,1,1.031860977511823e-7,1.599756298988973e-8,3.3389800229781745e-9,0
Otis 's height is 50.39 cm.,Otis,1,1.0327455086096212e-7,1.600842490349314e-8,3.3408437480374476e-9,0
Rosie is 50.4 cm tall.,Rosie,1,1.0336308928154812e-7,1.6019295114615185e-8,3.3427086434923583e-9,0
Jeremiah is 50.42 cm tall.,Jeremiah,1,1.0354042242097524e-7,1.6041060457595386e-8,3.346441948856555e-9,0
Piper 's height is 50.43 cm.,Piper,1,1.0362921732300436e-7,1.6051955603560168e-8,3.348310360401151e-9,0
Gertrude 's height is 50.44 cm.,Gertrude,1,1.037180979022155e-7,1.6062859075256794e-8,3.3501799456120104e-9,0
Adele 's height is 50.46 cm.,Adele,1,1.0389611645975004e-07,1.608469102413131e-8,3.353922640310049e-9,0
Kennedy is 50.47 cm tall.,Kennedy,1,1.0398525462212682e-7,1.6095619515468585e-8,3.355795751437562e-9,0
Joan is 50.49 cm.,Joan,1,1.0416378917504831e-7,1.611750156739127e-8,3.3595455053551837e-9,0
Payton is 50.5 cm.,Payton,1,1.0425318575029868e-7,1.6128455142175787e-8,3.3614221497894036e-9,0
Henry is 50.51 cm tall.,Henry,1,1.0434266864806115e-7,1.6139417092319557e-8,3.3632999736377077e-9,0
Bradley is 50.52 cm.,Bradley,1,1.0443223796096169e-7,1.615038742493876e-8,3.3651789777237373e-9,0
Graham is 50.53 cm tall.,Graham,1,1.0452189378173466e-7,1.6161366147156128e-8,3.367059162871759e-9,0
Charles is 50.54 cm.,Charles,1,1.0461163620322496e-7,1.61723532661012e-8,3.3689405299066806e-9,0
Brock 's height is 50.55 cm.,Brock,1,1.047014653183866e-7,1.618334878891008e-8,3.370823079654056e-9,0
Sue is 50.56 cm.,Sue,1,1.0479138122028351e-7,1.619435272272557e-8,3.37270681294005e-9,0
Elijah is 50.57 cm tall.,Elijah,1,1.0488138400208916e-7,1.6205365074697148e-8,3.3745917305914764e-9,0
Reagan 's height is 50.58 cm.,Reagan,1,1.0497147375708777e-7,1.621638585198098e-8,3.3764778334357773e-9,0
Monica is 50.59 cm tall.,Monica,1,1.0506165057867301e-7,1.622741506173995e-8,3.3783651223010493e-9,0
Brianna is 50.6 cm.,Brianna,1,1.0515191456034924e-7,1.623845271114354e-8,3.3802535980159975e-9,0
Rosemary is 50.61 cm tall.,Rosemary,1,1.0524226579573156e-7,1.624949880736809e-8,3.3821432614099853e-9,0
Ellis 's height is 50.62 cm.,Ellis,1,1.0533270437854513e-7,1.6260553357596567e-8,3.3840341133129955e-9,0
Jeffrey 's height is 50.63 cm.,Jeffrey,1,1.0542323040262597e-7,1.62716163690186e-8,3.3859261545556696e-9,0
Jessie is 50.65 cm.,Jessie,1,1.0560454515048958e-7,1.6293767804235974e-8,3.389713808385722e-9,0
Gina is 50.66 cm tall.,Gina,1,1.0569533406249949e-7,1.6304856242444315e-8,3.391609422637557e-9,0
Tommy is 50.68 cm tall.,Tommy,1,1.0587717543407932e-7,1.6327058596143542e-8,3.3954042299807967e-9,0
Claire is 50.69 cm.,Claire,1,1.0596822808254488e-7,1.633817252608798e-8,3.3973034247404937e-9,0
Brock is 50.7 cm tall.,Brock,1,1.0605936883224428e-7,1.6349294967742617e-8,3.399203814672187e-9,0
Ruby 's height is 50.71 cm.,Ruby,1,1.0615059777790498e-7,1.6360425928351153e-8,3.4011054006116317e-9,0
Adam is 50.72 cm.,Adam,1,1.0624191501436612e-7,1.6371565415164063e-8,3.403008183395218e-9,0
Katharine is 50.73 cm.,Katharine,1,1.0633332063657954e-7,1.638271343543862e-8,3.404912163859988e-9,0
Clara 's height is 50.74 cm.,Clara,1,1.0642481473960945e-7,1.6393869996438917e-8,3.406817342843639e-9,0
Sherry is 50.75 cm.,Sherry,1,1.0651639741863176e-7,1.640503510543574e-8,3.4087237211844898e-9,0
Pete is 50.76 cm tall.,Pete,1,1.0660806876893591e-7,1.641620876970685e-8,3.4106312997215154e-9,0
Alec is 50.77 cm.,Alec,1,1.0669982888592384e-7,1.6427390996536735e-8,3.4125400792943486e-9,0
Marina 's height is 50.78 cm.,Marina,1,1.0679167786510982e-7,1.6438581793216637e-8,3.414450060743245e-9,0
Felix is 50.79 cm.,Felix,1,1.06883615802122e-7,1.644978116704478e-8,3.416361244909122e-9,0
Mildred 's height is 50.8 cm.,Mildred,1,1.0697564279270161e-7,1.6460989125326122e-8,3.4182736326335403e-9,0
Layla is 50.82 cm.,Layla,1,1.0715996431809342e-7,1.648343082450257e-8,3.422102022127485e-9,0
Martin is 50.85 cm tall.,Martin,1,1.0743711690798737e-7,1.6517157939684765e-8,3.4278536541337667e-9,0
Jenna 's height is 50.87 cm.,Jenna,1,1.0762233329273046e-7,1.653968581304287e-8,3.4316941171709347e-9,0
Crystal is 50.88 cm tall.,Crystal,1,1.0771507617215904e-7,1.655096271075202e-8,3.433616163737727e-9,0
Shannon is 50.89 cm tall.,Shannon,1,1.0780790897194314e-7,1.6562248258968067e-8,3.43553942146633e-9,0
Cheryl is 50.91 cm tall.,Cheryl,1,1.0799384472021698e-7,1.6584845336422716e-8,3.4393895738018615e-9,0
Cesar 's height is 50.92 cm.,Cesar,1,1.080869478628139e-7,1.6596156880429552e-8,3.441316470106882e-9,0
Christopher 's height is 50.93 cm.,Christopher,1,1.081801413139808e-7,1.6607477104479768e-8,3.44324458096988e-9,0
Otis 's height is 50.94 cm.,Otis,1,1.0827342517105882e-7,1.6618806015974802e-8,3.44517390724154e-9,0
Gerard 's height is 50.95 cm.,Gerard,1,1.0836679953150524e-7,1.6630143622323044e-8,3.447104449773191e-9,0
Damian is 50.97 cm tall.,Damian,1,1.0855382015290806e-7,1.665284494924744e-8,3.4509691870251186e-9,0
Mia is 50.99 cm tall.,Mia,1,1.087412039601586e-7,1.6675581144659207e-8,3.4548387995494613e-9,0
Rochelle is 51 cm tall.,Rochelle,1,1.0883503230334944e-7,1.6686962336642743e-8,3.456775436174106e-9,0
Jerry 's height is 51.01 cm.,Jerry,1,1.089289517370821e-7,1.6698352268076026e-8,3.458713294180555e-9,0
Shane is 51.02 cm.,Shane,1,1.0902296235962596e-7,1.670975094641624e-8,3.4606523744247484e-9,0
Grayson is 51.03 cm.,Grayson,1,1.0911706426936608e-7,1.6721158379127522e-8,3.462592677763274e-9,0
Paula is 51.04 cm tall.,Paula,1,1.092112575648053e-7,1.6732574573681067e-8,3.4645342050534026e-9,0
Mackenzie 's height is 51.05 cm.,Mackenzie,1,1.09305542344563e-7,1.6743999537555154e-8,3.4664769571530543e-9,0
Evan is 51.07 cm tall.,Evan,1,1.0949438675209678e-7,1.6766875803212677e-8,3.4703661392158907e-9,0
