location,temperature,categories,premise,hypothesis
noloc,-50,warm,It is -50 degrees.,It is warm.
noloc,-50,very warm,It is -50 degrees.,It is very warm.
noloc,-50,extremely warm,It is -50 degrees.,It is extremely warm.
noloc,-50,hot,It is -50 degrees.,It is hot.
noloc,-50,slightly hot,It is -50 degrees.,It is slightly hot.
noloc,-50,very hot,It is -50 degrees.,It is very hot.
noloc,-50,extremely hot,It is -50 degrees.,It is extremely hot.
noloc,-49,warm,It is -49 degrees.,It is warm.
noloc,-49,very warm,It is -49 degrees.,It is very warm.
noloc,-49,extremely warm,It is -49 degrees.,It is extremely warm.
noloc,-49,hot,It is -49 degrees.,It is hot.
noloc,-49,slightly hot,It is -49 degrees.,It is slightly hot.
noloc,-49,very hot,It is -49 degrees.,It is very hot.
noloc,-49,extremely hot,It is -49 degrees.,It is extremely hot.
noloc,-48,warm,It is -48 degrees.,It is warm.
noloc,-48,very warm,It is -48 degrees.,It is very warm.
noloc,-48,extremely warm,It is -48 degrees.,It is extremely warm.
noloc,-48,hot,It is -48 degrees.,It is hot.
noloc,-48,slightly hot,It is -48 degrees.,It is slightly hot.
noloc,-48,very hot,It is -48 degrees.,It is very hot.
noloc,-48,extremely hot,It is -48 degrees.,It is extremely hot.
noloc,-47,warm,It is -47 degrees.,It is warm.
noloc,-47,very warm,It is -47 degrees.,It is very warm.
noloc,-47,extremely warm,It is -47 degrees.,It is extremely warm.
noloc,-47,hot,It is -47 degrees.,It is hot.
noloc,-47,slightly hot,It is -47 degrees.,It is slightly hot.
noloc,-47,very hot,It is -47 degrees.,It is very hot.
noloc,-47,extremely hot,It is -47 degrees.,It is extremely hot.
noloc,-46,warm,It is -46 degrees.,It is warm.
noloc,-46,very warm,It is -46 degrees.,It is very warm.
noloc,-46,extremely warm,It is -46 degrees.,It is extremely warm.
noloc,-46,hot,It is -46 degrees.,It is hot.
noloc,-46,slightly hot,It is -46 degrees.,It is slightly hot.
noloc,-46,very hot,It is -46 degrees.,It is very hot.
noloc,-46,extremely hot,It is -46 degrees.,It is extremely hot.
noloc,-45,warm,It is -45 degrees.,It is warm.
noloc,-45,very warm,It is -45 degrees.,It is very warm.
noloc,-45,extremely warm,It is -45 degrees.,It is extremely warm.
noloc,-45,hot,It is -45 degrees.,It is hot.
noloc,-45,slightly hot,It is -45 degrees.,It is slightly hot.
noloc,-45,very hot,It is -45 degrees.,It is very hot.
noloc,-45,extremely hot,It is -45 degrees.,It is extremely hot.
noloc,-44,warm,It is -44 degrees.,It is warm.
noloc,-44,very warm,It is -44 degrees.,It is very warm.
noloc,-44,extremely warm,It is -44 degrees.,It is extremely warm.
noloc,-44,hot,It is -44 degrees.,It is hot.
noloc,-44,slightly hot,It is -44 degrees.,It is slightly hot.
noloc,-44,very hot,It is -44 degrees.,It is very hot.
noloc,-44,extremely hot,It is -44 degrees.,It is extremely hot.
noloc,-43,warm,It is -43 degrees.,It is warm.
noloc,-43,very warm,It is -43 degrees.,It is very warm.
noloc,-43,extremely warm,It is -43 degrees.,It is extremely warm.
noloc,-43,hot,It is -43 degrees.,It is hot.
noloc,-43,slightly hot,It is -43 degrees.,It is slightly hot.
noloc,-43,very hot,It is -43 degrees.,It is very hot.
noloc,-43,extremely hot,It is -43 degrees.,It is extremely hot.
noloc,-42,warm,It is -42 degrees.,It is warm.
noloc,-42,very warm,It is -42 degrees.,It is very warm.
noloc,-42,extremely warm,It is -42 degrees.,It is extremely warm.
noloc,-42,hot,It is -42 degrees.,It is hot.
noloc,-42,slightly hot,It is -42 degrees.,It is slightly hot.
noloc,-42,very hot,It is -42 degrees.,It is very hot.
noloc,-42,extremely hot,It is -42 degrees.,It is extremely hot.
noloc,-41,warm,It is -41 degrees.,It is warm.
noloc,-41,very warm,It is -41 degrees.,It is very warm.
noloc,-41,extremely warm,It is -41 degrees.,It is extremely warm.
noloc,-41,hot,It is -41 degrees.,It is hot.
noloc,-41,slightly hot,It is -41 degrees.,It is slightly hot.
noloc,-41,very hot,It is -41 degrees.,It is very hot.
noloc,-41,extremely hot,It is -41 degrees.,It is extremely hot.
noloc,-40,warm,It is -40 degrees.,It is warm.
noloc,-40,very warm,It is -40 degrees.,It is very warm.
noloc,-40,extremely warm,It is -40 degrees.,It is extremely warm.
noloc,-40,hot,It is -40 degrees.,It is hot.
noloc,-40,slightly hot,It is -40 degrees.,It is slightly hot.
noloc,-40,very hot,It is -40 degrees.,It is very hot.
noloc,-40,extremely hot,It is -40 degrees.,It is extremely hot.
noloc,-39,warm,It is -39 degrees.,It is warm.
noloc,-39,very warm,It is -39 degrees.,It is very warm.
noloc,-39,extremely warm,It is -39 degrees.,It is extremely warm.
noloc,-39,hot,It is -39 degrees.,It is hot.
noloc,-39,slightly hot,It is -39 degrees.,It is slightly hot.
noloc,-39,very hot,It is -39 degrees.,It is very hot.
noloc,-39,extremely hot,It is -39 degrees.,It is extremely hot.
noloc,-38,warm,It is -38 degrees.,It is warm.
noloc,-38,very warm,It is -38 degrees.,It is very warm.
noloc,-38,extremely warm,It is -38 degrees.,It is extremely warm.
noloc,-38,hot,It is -38 degrees.,It is hot.
noloc,-38,slightly hot,It is -38 degrees.,It is slightly hot.
noloc,-38,very hot,It is -38 degrees.,It is very hot.
noloc,-38,extremely hot,It is -38 degrees.,It is extremely hot.
noloc,-37,warm,It is -37 degrees.,It is warm.
noloc,-37,very warm,It is -37 degrees.,It is very warm.
noloc,-37,extremely warm,It is -37 degrees.,It is extremely warm.
noloc,-37,hot,It is -37 degrees.,It is hot.
noloc,-37,slightly hot,It is -37 degrees.,It is slightly hot.
noloc,-37,very hot,It is -37 degrees.,It is very hot.
noloc,-37,extremely hot,It is -37 degrees.,It is extremely hot.
noloc,-36,warm,It is -36 degrees.,It is warm.
noloc,-36,very warm,It is -36 degrees.,It is very warm.
noloc,-36,extremely warm,It is -36 degrees.,It is extremely warm.
noloc,-36,hot,It is -36 degrees.,It is hot.
